,User,Movie,Actual Rating,Predicted Rating
206,160,317,3,2
207,81,476,3,2
208,278,740,5,1
209,15,7,5,3
210,83,741,3,1
211,16,12,3,1
212,238,490,5,2
213,296,88,4,1
214,103,755,2,1
215,196,510,5,3
216,5,68,3,3
217,98,872,1,5
218,200,517,4,1
219,213,130,3,5
220,216,181,2,3
221,238,233,3,2
222,12,71,4,1
223,207,662,5,5
224,312,477,3,2
225,69,1132,3,2
226,285,72,5,1
227,290,1177,4,2
228,310,8,4,3
229,274,1090,2,3
230,52,280,4,4
231,123,495,1,3
232,23,190,5,3
233,306,633,3,1
234,292,136,3,1
235,184,215,4,5
236,56,78,5,1
237,229,962,5,4
238,61,85,2,5
239,10,424,4,5
240,307,58,4,4
241,86,584,4,4
242,101,523,3,4
243,61,301,3,3
244,278,167,5,3
245,61,58,4,1
246,82,96,4,1
247,296,232,2,4
248,195,380,4,1
249,6,170,3,5
250,285,84,5,2
251,189,973,2,1
252,307,435,4,5
253,144,755,2,1
254,219,297,4,2
255,20,323,4,4
256,157,127,2,4
257,74,236,2,3
258,198,220,4,4
259,222,1149,2,3
260,163,280,4,2
261,5,22,4,4
262,37,572,1,1
263,312,435,4,5
264,43,257,4,3
265,247,116,5,1
266,238,95,5,4
267,93,154,2,5
268,279,844,3,1
269,178,338,1,5
270,115,330,3,3
271,245,720,4,2
272,193,238,3,2
273,222,762,3,1
274,173,401,5,2
275,221,105,2,4
276,303,258,1,2
277,48,67,1,5
278,55,868,3,1
279,93,173,4,2
280,261,222,3,3
281,133,878,4,2
282,150,11,5,4
283,140,257,5,5
284,103,286,2,1
285,311,152,2,5
286,0,221,4,1
287,55,449,3,3
288,17,201,3,1
289,86,209,5,4
290,180,327,3,2
291,22,462,4,1
292,252,745,3,4
293,215,173,5,5
294,207,196,5,4
295,100,595,3,3
296,161,1018,4,4
297,159,159,5,2
298,163,929,4,1
299,298,239,2,5
300,91,1208,1,1
301,193,159,2,2
302,276,254,4,4
303,124,133,5,2
304,290,427,5,3
305,206,1349,2,2
306,37,160,5,4
307,58,417,2,2
308,103,299,3,2
309,267,1040,1,3
310,209,526,5,1
311,307,214,3,1
312,233,1396,4,2
313,74,545,3,4
314,245,238,3,4
315,84,186,5,5
316,255,219,3,3
317,209,273,5,5
318,0,112,5,3
319,262,1450,4,1
320,120,116,1,3
321,310,565,4,2
322,115,249,4,2
323,294,171,4,5
324,103,1009,1,3
325,286,251,1,4
326,223,677,3,1
327,271,1100,5,1
328,245,424,5,4
329,114,7,5,1
330,94,0,5,1
331,183,659,3,1
332,71,426,5,5
333,199,290,3,2
334,233,570,2,1
335,248,929,2,4
336,108,257,5,3
337,150,371,5,2
338,86,195,5,4
339,91,175,5,4
340,203,215,4,5
341,270,704,4,3
342,213,692,3,3
343,72,656,5,1
344,157,769,5,1
345,177,275,3,5
346,180,1093,1,1
347,196,54,3,3
348,278,226,4,1
349,83,747,4,4
350,278,1047,1,5
351,194,299,3,2
352,118,717,5,1
353,2,336,1,1
354,213,274,3,2
355,15,55,5,4
356,93,345,4,1
357,101,160,2,4
358,91,114,3,1
359,213,1128,4,5
360,200,508,3,3
361,143,507,4,2
362,72,93,1,3
363,176,202,4,1
364,275,272,4,2
365,119,545,2,1
366,127,481,4,5
367,21,509,5,2
368,311,493,5,5
369,263,503,5,4
370,306,686,1,1
371,41,175,3,5
372,101,447,3,5
373,94,526,4,1
374,200,918,3,2
375,213,41,5,1
376,5,468,5,2
377,116,150,4,1
378,90,27,4,3
379,63,175,4,3
380,61,110,3,2
381,302,119,2,5
382,48,546,5,1
383,234,86,4,4
384,275,1156,2,3
385,49,822,3,5
386,206,715,3,5
387,93,469,4,1
388,302,1285,4,1
389,270,713,3,1
390,173,79,1,4
391,275,938,3,1
392,302,737,2,4
393,245,67,5,3
394,91,664,3,3
395,248,87,4,5
396,12,330,3,4
397,310,202,5,3
398,262,196,4,3
399,275,363,3,4
400,87,749,2,3
401,248,707,4,4
402,310,82,5,1
403,10,724,3,1
404,320,495,4,3
405,6,150,4,4
406,83,11,5,3
407,285,230,3,5
408,4,210,4,1
409,5,356,4,2
410,163,116,5,1
411,212,293,3,5
412,231,196,4,2
413,129,730,3,3
414,73,271,5,2
415,176,55,5,1
416,238,186,5,3
417,130,1280,4,2
418,91,218,4,5
419,15,154,3,3
420,318,312,5,3
421,179,736,3,4
422,269,735,5,2
423,53,684,3,4
424,313,94,5,5
425,311,120,3,3
426,98,741,5,2
427,205,899,1,1
428,206,3,4,1
429,200,78,4,1
430,27,94,3,1
431,6,579,3,4
432,180,15,1,1
433,96,88,5,2
434,58,709,3,5
435,177,208,4,1
436,298,614,4,1
437,46,994,3,3
438,233,19,4,4
439,139,267,4,3
440,66,63,5,2
441,56,203,4,5
442,183,154,3,3
443,285,720,3,4
444,315,305,4,1
445,63,683,4,1
446,197,134,5,3
447,52,23,3,2
448,237,110,4,3
449,129,266,5,3
450,89,661,5,1
451,180,994,1,5
452,183,70,4,3
453,157,1010,4,4
454,6,527,5,5
455,274,172,3,3
456,144,259,4,3
457,106,270,2,5
458,81,410,3,4
459,166,363,3,5
460,81,918,3,5
461,12,319,1,5
462,17,862,3,3
463,270,409,2,5
464,294,46,5,4
465,286,256,4,2
466,304,60,4,3
467,17,964,4,4
468,71,527,4,4
469,124,238,5,2
470,137,210,4,1
471,9,339,4,5
472,218,881,3,1
473,233,160,3,1
474,5,142,2,3
475,185,280,4,4
476,285,257,4,2
477,12,288,2,4
478,141,180,5,3
479,48,16,2,1
480,279,471,2,5
481,174,95,3,5
482,58,587,2,4
483,302,86,3,2
484,90,426,4,1
485,317,630,4,5
486,267,469,3,5
487,187,768,2,5
488,6,43,5,1
489,255,764,4,1
490,195,66,5,4
491,269,52,4,2
492,253,417,3,5
493,10,189,3,5
494,116,828,3,5
495,267,51,3,5
496,5,293,2,2
497,61,364,2,1
498,269,465,5,5
499,66,1094,4,5
500,267,683,3,5
501,35,882,5,4
502,99,320,1,4
503,130,99,5,1
504,221,28,3,5
505,200,420,2,5
506,51,1085,4,2
507,196,293,4,1
508,41,602,4,2
509,256,344,4,5
510,14,931,1,3
511,233,232,2,4
512,291,194,5,2
513,300,173,5,2
514,220,1249,2,5
515,96,97,4,5
516,269,780,5,4
517,150,185,4,5
518,52,173,5,5
519,89,528,5,4
520,10,516,2,4
521,254,677,2,1
522,275,405,2,3
523,275,33,2,3
524,96,49,5,2
525,81,595,3,1
526,93,454,3,5
527,200,404,4,4
528,192,331,3,2
529,312,190,5,3
530,6,27,5,4
531,61,137,1,1
532,12,337,1,3
533,71,225,4,3
534,207,87,5,1
535,278,41,4,4
536,275,290,3,5
537,37,431,1,5
538,310,179,4,4
539,59,46,4,3
540,96,114,5,1
541,14,684,4,5
542,46,339,5,3
543,286,10,5,3
544,180,1319,1,2
545,127,735,5,3
546,278,826,1,1
547,248,123,5,2
548,279,692,3,1
549,75,91,4,2
550,245,405,3,5
551,234,646,4,3
552,286,55,5,1
553,95,152,4,4
554,124,614,3,4
555,83,527,5,5
556,194,495,4,3
557,12,569,5,4
558,17,57,4,3
559,144,12,5,5
560,49,252,5,1
561,89,630,5,1
562,212,47,5,3
563,123,49,3,5
564,192,553,3,4
565,270,513,4,3
566,252,49,4,3
567,101,731,3,1
568,200,942,3,4
569,58,286,5,1
570,267,82,4,1
571,12,876,2,2
572,69,583,3,3
573,144,459,1,3
574,274,175,4,3
575,42,283,5,2
576,206,202,3,1
577,285,688,5,1
578,105,659,4,1
579,43,229,2,5
580,310,504,4,2
581,319,201,4,4
582,221,322,3,4
583,118,212,5,1
584,12,479,3,4
585,232,481,4,5
586,291,85,4,4
587,250,143,5,1
588,310,567,5,4
589,268,410,1,4
590,15,143,5,2
591,298,237,4,3
592,290,158,4,3
593,94,127,3,4
594,9,656,4,2
595,255,691,5,3
596,84,628,3,1
597,270,1265,2,1
598,235,728,5,2
599,292,292,4,3
600,127,78,4,5
601,188,90,3,4
602,290,365,3,4
603,115,261,3,1
604,180,596,3,4
605,139,300,3,4
606,197,650,4,5
607,220,267,5,2
608,93,32,3,3
609,289,475,3,5
610,93,1118,4,2
611,78,245,5,4
612,197,23,2,5
613,235,505,5,3
614,322,116,3,1
615,108,153,2,1
616,292,166,3,2
617,21,510,4,1
618,164,257,5,4
619,160,173,2,4
620,194,180,5,1
621,73,287,3,5
622,101,431,3,3
623,59,1019,4,4
624,275,103,1,5
625,298,1321,3,1
626,216,81,5,4
627,313,8,4,2
628,188,119,1,1
629,129,621,3,1
630,159,2,3,1
631,157,567,4,4
632,194,406,2,2
633,144,1000,4,5
634,150,259,1,2
635,94,394,3,3
636,302,329,3,1
637,115,247,3,1
638,317,507,4,4
639,36,182,4,1
640,5,210,5,3
641,307,163,4,3
642,310,69,4,3
643,124,149,1,2
644,99,354,4,5
645,114,227,4,5
646,319,1156,4,1
647,188,461,5,2
648,12,225,4,2
649,149,245,5,1
650,192,367,1,3
651,169,244,5,1
652,229,237,1,3
653,93,234,4,1
654,120,85,5,5
655,101,263,2,2
656,66,0,3,4
657,176,918,4,2
658,0,131,4,5
659,143,777,4,4
660,48,757,1,2
661,278,1492,1,2
662,118,1100,5,5
663,0,133,4,2
664,5,179,4,4
665,298,920,3,1
666,129,875,4,5
667,12,304,4,2
668,285,157,3,5
669,86,1182,3,5
670,90,171,4,3
671,233,499,3,4
672,236,99,5,4
673,149,12,4,3
674,150,24,4,2
675,270,7,4,1
676,86,302,3,1
677,310,517,3,1
678,109,300,2,3
679,193,195,3,5
680,238,604,4,5
681,267,249,4,1
682,274,1065,3,4
683,55,67,3,2
684,77,1159,5,5
685,129,681,4,2
686,57,1099,2,5
687,48,472,3,5
688,108,194,5,3
689,279,1027,5,1
690,142,330,5,1
691,177,130,4,4
692,296,215,4,1
693,58,1116,4,3
694,74,1016,5,1
695,84,659,4,3
696,310,347,4,5
697,22,212,3,4
698,296,201,3,5
699,177,925,4,1
700,206,132,4,5
701,105,434,3,3
702,86,162,4,5
703,285,654,3,5
704,304,678,3,3
705,43,664,1,4
706,329,234,5,2
707,234,1463,4,4
708,210,525,4,4
709,37,507,2,4
710,9,462,4,2
711,68,257,4,1
712,290,384,4,1
713,245,595,3,4
714,85,257,5,1
715,6,620,5,2
716,53,819,3,2
717,176,650,3,2
718,41,47,5,5
719,231,274,2,5
720,270,241,4,4
721,304,55,1,4
722,193,1182,2,2
723,147,171,5,2
724,268,960,5,2
725,313,1094,3,3
726,21,455,1,4
727,196,287,3,4
728,163,596,4,1
729,292,483,5,3
730,151,271,5,2
731,58,120,4,1
732,260,321,4,4
733,109,244,3,3
734,111,321,4,4
735,233,595,2,3
736,94,175,3,2
737,83,321,3,1
738,143,63,5,1
739,327,741,4,2
740,264,6,2,3
741,74,495,5,3
742,94,719,2,2
743,5,499,4,1
744,61,27,3,2
745,73,236,4,1
746,42,327,4,1
747,91,755,3,3
748,270,299,2,4
749,5,94,2,3
750,290,815,3,1
751,58,404,3,5
752,331,974,3,5
753,183,558,3,2
754,260,338,5,5
755,300,57,4,4
756,9,320,4,3
757,320,630,4,2
758,82,215,4,3
759,327,520,4,1
760,162,287,3,2
761,0,30,3,5
762,103,323,1,2
763,236,210,4,2
764,43,602,4,4
765,319,98,4,1
766,327,590,3,2
767,327,753,4,5
768,2,322,2,5
769,154,320,4,4
770,190,287,3,1
771,80,470,3,2
772,151,715,5,4
773,56,743,5,5
774,108,217,4,2
775,313,790,4,1
776,212,49,5,1
777,13,110,3,2
778,320,130,4,1
779,196,230,3,2
780,176,123,3,3
781,41,784,4,2
782,0,69,3,2
783,7,181,5,3
784,266,653,5,4
785,221,938,3,4
786,326,273,2,4
787,86,66,4,3
788,312,174,4,3
789,233,1034,3,4
790,210,677,3,2
791,118,153,5,1
792,125,877,5,3
793,193,970,3,1
794,255,755,4,1
795,222,257,1,1
796,262,522,5,3
797,333,281,4,2
798,9,202,4,2
799,13,55,5,4
800,307,578,3,4
801,319,41,4,3
802,296,300,4,4
803,230,126,3,4
804,296,21,4,4
805,147,176,2,4
806,183,46,4,5
807,275,57,4,2
808,243,742,5,2
809,300,1111,4,2
810,284,287,5,2
811,70,345,4,2
812,292,1131,3,2
813,188,275,3,1
814,216,565,4,5
815,12,299,1,4
816,147,184,1,3
817,12,179,5,5
818,275,75,4,5
819,115,1081,3,5
820,143,726,3,4
821,333,221,4,2
822,161,229,2,4
823,61,134,4,3
824,319,455,3,5
825,208,268,2,2
826,91,672,4,5
827,215,285,4,5
828,289,1012,2,5
829,199,819,3,2
830,292,565,3,5
831,200,3,4,3
832,314,530,5,4
833,285,1264,5,3
834,266,225,3,1
835,56,587,4,4
836,38,351,5,4
837,131,921,5,2
838,269,386,5,2
839,300,10,4,3
840,206,641,3,2
841,55,238,4,1
842,128,269,3,1
843,80,117,2,1
844,287,199,4,2
845,312,179,5,5
846,167,595,4,3
847,114,10,4,2
848,118,696,5,3
849,105,285,4,1
850,148,326,2,1
851,279,95,4,2
852,307,290,3,3
853,234,683,4,2
854,177,357,1,3
855,10,560,2,3
856,278,274,3,2
857,41,844,5,3
858,127,82,5,1
859,0,55,4,1
860,233,965,4,5
861,199,224,4,3
862,178,315,5,4
863,269,69,5,3
864,180,1197,1,3
865,61,701,2,2
866,319,290,4,1
867,12,819,4,5
868,310,98,5,4
869,233,71,3,4
870,180,925,1,3
871,200,86,3,5
872,320,193,3,5
873,200,163,3,1
874,220,894,2,1
875,94,842,4,5
876,305,274,4,4
877,180,320,2,1
878,233,208,4,2
879,4,425,3,5
880,313,72,4,4
881,82,264,5,5
882,292,385,2,4
883,278,367,1,1
884,188,252,4,3
885,206,1097,4,4
886,109,1247,3,1
887,61,715,4,2
888,302,420,4,1
889,84,487,4,2
890,329,583,3,1
891,180,1066,1,4
892,300,514,3,3
893,12,829,1,5
894,208,257,2,2
895,306,392,3,1
896,311,494,4,4
897,124,21,5,3
898,48,568,3,4
899,63,958,4,5
900,214,88,4,3
901,305,318,4,2
902,108,795,3,5
903,188,479,5,5
904,21,293,1,1
905,327,678,2,1
906,37,443,1,2
907,218,178,5,3
908,317,46,2,5
909,307,192,3,1
910,62,108,4,5
911,193,55,5,4
912,108,89,3,5
913,137,284,4,1
914,86,1181,3,5
915,177,654,4,2
916,41,69,3,2
917,341,791,3,1
918,200,212,4,3
919,298,173,4,4
920,61,420,5,2
921,118,627,4,3
922,307,527,3,3
923,150,434,4,3
924,196,1418,2,2
925,56,293,4,5
926,185,52,1,1
927,98,1051,1,3
928,200,97,4,2
929,89,356,5,1
930,101,1029,1,2
931,140,124,5,5
932,166,674,1,1
933,129,771,4,3
934,42,6,4,2
935,285,431,3,5
936,285,12,2,4
937,17,208,4,1
938,279,755,4,1
939,132,259,1,4
940,270,12,4,5
941,312,135,5,3
942,186,731,3,2
943,15,150,5,1
944,335,107,3,5
945,338,54,3,4
946,294,735,5,5
947,12,211,5,2
948,157,143,4,5
949,10,119,2,1
950,196,180,5,2
951,183,779,4,5
952,61,1106,1,2
953,127,76,3,5
954,37,391,5,1
955,114,68,1,1
956,268,173,1,4
957,255,275,3,5
958,326,132,4,2
959,281,268,4,3
960,57,41,4,4
961,5,524,5,5
962,183,171,4,4
963,292,513,4,5
964,124,1073,3,3
965,312,434,5,2
966,91,86,3,5
967,84,841,3,1
968,192,392,4,2
969,151,779,5,3
970,134,228,2,1
971,91,930,1,2
972,296,276,3,2
973,229,49,5,5
974,315,482,4,3
975,326,92,4,3
976,91,1211,3,5
977,108,549,5,5
978,24,126,3,3
979,93,226,3,2
980,259,1104,5,2
981,61,826,2,2
982,137,99,5,2
983,316,325,3,2
984,10,733,3,4
985,324,513,4,1
986,84,1100,4,5
987,15,287,3,5
988,167,410,1,2
989,319,10,4,1
990,266,683,4,1
991,188,693,4,5
992,248,239,4,4
993,109,299,3,5
994,14,277,1,4
995,327,522,5,3
996,270,660,4,4
997,278,1094,1,1
998,249,199,5,2
999,49,1083,5,1
1000,127,1140,4,3
1001,274,190,4,1
1002,101,66,1,1
1003,10,214,3,2
1004,230,125,5,1
1005,268,473,4,1
1006,10,427,4,3
1007,119,281,4,1
1008,297,417,4,3
1009,200,460,4,2
1010,9,703,3,3
1011,5,18,4,3
1012,285,641,3,2
1013,59,809,4,4
1014,287,96,4,2
1015,135,55,4,4
1016,5,475,1,5
1017,63,99,4,2
1018,23,371,4,4
1019,199,285,4,2
1020,95,7,5,1
1021,93,256,4,1
1022,118,683,4,4
1023,310,309,4,2
1024,86,208,5,2
1025,187,791,2,5
1026,93,726,5,2
1027,273,147,2,1
1028,150,240,3,2
1029,117,323,4,1
1030,25,8,4,1
1031,160,653,3,3
1032,22,515,4,3
1033,180,1050,2,2
1034,37,615,3,3
1035,327,527,5,2
1036,5,174,4,2
1037,172,937,3,1
1038,183,88,4,2
1039,143,285,4,3
1040,89,198,5,1
1041,0,214,3,2
1042,220,31,4,1
1043,200,675,2,5
1044,268,607,4,5
1045,58,723,5,3
1046,107,124,3,1
1047,48,52,4,3
1048,239,300,5,1
1049,298,601,3,3
1050,12,787,1,2
1051,194,476,2,4
1052,296,514,5,3
1053,84,70,4,1
1054,221,738,4,5
1055,143,460,4,3
1056,52,227,3,3
1057,133,538,4,2
1058,47,209,3,2
1059,94,377,4,1
1060,262,677,2,4
1061,283,338,3,2
1062,275,747,3,4
1063,220,38,4,2
1064,270,413,4,4
1065,150,654,4,3
1066,289,417,3,5
1067,291,1049,4,2
1068,64,1128,4,5
1069,278,684,3,3
1070,268,483,3,3
1071,184,236,4,3
1072,242,274,3,1
1073,197,401,3,2
1074,343,38,3,4
1075,120,121,2,3
1076,159,1018,5,2
1077,342,43,3,2
1078,271,10,4,5
1079,278,1117,3,2
1080,253,98,3,5
1081,307,631,3,4
1082,294,623,5,3
1083,20,55,5,1
1084,97,320,3,3
1085,116,337,3,5
1086,296,96,5,2
1087,344,721,3,4
1088,224,135,5,2
1089,40,485,4,5
1090,89,8,4,5
1091,219,287,5,3
1092,289,201,4,2
1093,345,212,3,4
1094,183,1011,3,3
1095,295,95,5,2
1096,76,430,5,3
1097,17,366,4,5
1098,13,513,4,5
1099,344,650,4,5
1100,15,21,5,2
1101,115,757,1,5
1102,180,1290,1,3
1103,344,201,3,1
1104,94,517,4,5
1105,346,21,5,3
1106,200,7,3,5
1107,192,1131,3,5
1108,121,707,5,2
1109,5,497,4,3
1110,338,57,3,2
1111,129,1276,4,1
1112,200,274,4,5
1113,241,933,5,1
1114,232,957,5,2
1115,283,681,3,3
1116,255,194,5,1
1117,294,377,4,2
1118,157,99,5,1
1119,192,327,3,3
1120,291,27,4,3
1121,93,384,2,3
1122,93,108,4,1
1123,312,150,1,3
1124,93,392,3,1
1125,20,994,2,5
1126,127,965,4,4
1127,317,794,2,3
1128,297,171,4,2
1129,113,1103,5,1
1130,14,136,4,4
1131,147,595,5,3
1132,58,663,4,4
1133,109,733,2,2
1134,5,187,3,4
1135,292,124,2,4
1136,270,656,4,4
1137,302,372,2,3
1138,137,237,5,2
1139,105,63,4,2
1140,221,154,4,1
1141,344,366,4,1
1142,210,309,3,2
1143,75,257,3,1
1144,59,27,5,3
1145,140,931,3,2
1146,271,171,4,2
1147,307,525,3,5
1148,150,273,5,1
1149,249,43,4,2
1150,268,187,2,1
1151,154,293,3,4
1152,71,565,4,4
1153,205,1126,4,1
1154,216,52,1,4
1155,127,63,5,2
1156,310,366,3,5
1157,75,517,3,3
1158,214,10,2,3
1159,212,714,5,1
1160,173,93,2,4
1161,64,120,4,2
1162,150,320,4,5
1163,2,331,1,1
1164,289,817,3,3
1165,242,92,2,4
1166,20,669,3,4
1167,317,523,3,5
1168,300,122,4,4
1169,166,1146,4,3
1170,221,576,1,1
1171,42,723,4,5
1172,96,27,5,5
1173,84,240,3,5
1174,310,203,5,1
1175,124,812,1,3
1176,12,420,2,4
1177,159,78,4,5
1178,109,331,3,5
1179,343,96,3,3
1180,240,306,4,4
1181,238,311,2,5
1182,275,718,3,1
1183,341,590,3,5
1184,101,216,2,4
1185,94,25,3,1
1186,333,1007,4,3
1187,292,552,3,2
1188,57,7,4,2
1189,57,849,5,4
1190,298,100,2,4
1191,98,1118,4,4
1192,295,291,5,4
1193,61,293,1,2
1194,342,46,4,4
1195,310,432,3,3
1196,235,133,4,1
1197,26,595,2,2
1198,7,293,3,3
1199,222,68,5,3
1200,206,52,1,2
1201,333,7,4,3
1202,129,57,2,1
1203,129,46,3,4
1204,11,96,5,5
1205,240,749,5,4
1206,193,581,1,2
1207,177,545,3,4
1208,127,421,4,4
1209,279,418,3,2
1210,12,909,2,1
1211,188,59,3,3
1212,278,1208,4,5
1213,291,656,5,4
1214,149,267,5,2
1215,229,124,5,5
1216,275,447,4,2
1217,157,227,5,4
1218,91,41,4,1
1219,342,374,2,3
1220,44,120,4,2
1221,12,317,3,2
1222,15,229,5,3
1223,270,132,4,2
1224,193,316,4,3
1225,12,897,1,5
1226,252,567,4,1
1227,243,225,1,5
1228,312,113,4,4
1229,262,485,4,1
1230,307,825,3,3
1231,150,463,4,1
1232,344,87,4,4
1233,22,227,4,5
1234,316,299,4,3
1235,180,1311,1,2
1236,304,211,3,1
1237,278,215,3,5
1238,215,230,2,2
1239,21,682,1,5
1240,103,822,1,3
1241,212,508,4,2
1242,64,190,4,3
1243,183,258,3,4
1244,120,124,2,2
1245,72,478,5,1
1246,28,357,2,5
1247,229,198,3,1
1248,145,306,3,5
1249,297,143,4,5
1250,23,128,3,2
1251,1,311,3,5
1252,157,67,3,1
1253,274,303,3,5
1254,192,233,3,2
1255,139,288,4,3
1256,160,55,3,1
1257,177,1011,4,4
1258,332,65,5,1
1259,327,401,3,2
1260,6,284,5,2
1261,78,268,5,2
1262,298,644,4,4
1263,203,257,2,5
1264,150,493,4,3
1265,82,891,2,4
1266,129,221,4,1
1267,255,1118,3,3
1268,193,29,3,4
1269,86,628,4,2
1270,278,166,3,3
1271,57,1105,4,1
1272,161,173,4,4
1273,344,472,2,1
1274,4,41,5,1
1275,59,750,2,2
1276,213,1038,4,1
1277,132,314,4,5
1278,185,590,4,1
1279,86,518,4,5
1280,187,172,5,1
1281,290,769,4,3
1282,118,545,4,5
1283,302,1070,2,1
1284,338,197,5,2
1285,341,606,3,5
1286,253,242,2,3
1287,83,264,5,5
1288,313,590,5,4
1289,266,323,3,3
1290,192,464,3,1
1291,56,409,3,5
1292,292,143,4,1
1293,123,165,5,5
1294,267,716,1,2
1295,281,257,5,1
1296,326,81,2,2
1297,324,176,5,1
1298,307,282,3,3
1299,17,13,5,4
1300,312,669,3,2
1301,183,461,4,3
1302,163,124,5,1
1303,206,1377,3,1
1304,31,99,3,2
1305,235,477,3,5
1306,250,49,5,4
1307,6,488,3,3
1308,58,133,5,1
1309,0,77,1,1
1310,256,150,4,4
1311,22,704,4,5
1312,319,410,3,4
1313,233,920,4,3
1314,12,340,2,4
1315,235,306,4,1
1316,243,746,4,5
1317,213,6,5,1
1318,302,479,4,5
1319,179,420,5,3
1320,226,243,3,3
1321,188,1097,4,3
1322,53,326,5,1
1323,302,505,4,2
1324,268,178,4,2
1325,4,421,4,1
1326,311,1123,4,1
1327,12,451,3,1
1328,290,469,3,2
1329,45,126,5,4
1330,30,503,5,4
1331,47,201,4,1
1332,151,254,5,5
1333,261,789,3,3
1334,77,268,3,2
1335,6,422,5,2
1336,67,1027,4,5
1337,126,299,5,1
1338,180,1201,1,1
1339,22,187,3,4
1340,293,6,4,5
1341,48,2,3,3
1342,55,97,4,3
1343,345,3,4,3
1344,212,10,4,1
1345,307,169,3,1
1346,326,948,4,1
1347,143,21,5,2
1348,118,657,5,3
